network,obj,trial,model,model_paras,time_train,time_total,MAE_train,RMSE_train,R_train,R2_train,MAPE_train,NNSE_train,KGE_train,PCD_train,KLD_train,VAF_train,A30_train,A20_train,MAE_test,RMSE_test,R_test,R2_test,MAPE_test,NNSE_test,KGE_test,PCD_test,KLD_test,VAF_test,A30_test,A20_test
0,MSE,1,EFO-MLP,1000-50-0.3-0.85-0.1-0.45,105.905,105.908,0.46,0.643,0.922,0.851,0.065,0.87,0.885,0.724,8.575,85.056,0.979,0.938,0.695,1.027,0.805,0.627,0.11,0.729,0.708,0.78,-19.156,64.732,0.904,0.843
0,MSE,1,EO-MLP,1000-50,108.53,108.534,0.465,0.663,0.917,0.841,0.064,0.863,0.882,0.75,8.985,84.133,0.974,0.953,0.769,1.172,0.768,0.514,0.127,0.673,0.636,0.756,-43.488,59.005,0.892,0.807
0,MSE,1,CHIO-MLP,1000-50-0.06-150,118.443,118.446,0.563,0.797,0.878,0.771,0.08,0.814,0.831,0.703,10.968,77.101,0.964,0.922,0.762,1.146,0.754,0.536,0.121,0.683,0.721,0.756,-12.141,54.937,0.855,0.819
0,MSE,1,FBIO-MLP,1000-50,400.859,400.862,0.415,0.597,0.933,0.871,0.058,0.886,0.9,0.766,7.595,87.132,0.979,0.948,0.756,1.164,0.762,0.521,0.124,0.676,0.652,0.78,-37.61,58.063,0.916,0.843
0,MSE,1,SMA-MLP,1000-50-0.03,109.011,109.014,0.515,0.714,0.904,0.816,0.073,0.845,0.854,0.766,11.22,81.617,0.979,0.933,0.746,1.148,0.754,0.534,0.121,0.682,0.639,0.732,-25.89,56.802,0.904,0.819
0,MSE,1,CGO-MLP,1000-50,345.21,345.213,0.493,0.683,0.912,0.831,0.069,0.856,0.88,0.729,10.072,83.149,0.969,0.943,0.713,1.029,0.804,0.626,0.112,0.728,0.715,0.756,-19.322,64.623,0.904,0.831
0,MSE,1,AEO-MLP,1000-50,207.237,207.24,0.506,0.693,0.909,0.826,0.072,0.852,0.863,0.729,7.596,82.647,0.979,0.943,0.733,1.098,0.788,0.574,0.118,0.701,0.668,0.78,-32.976,62.047,0.904,0.831
0,MSE,1,IAEO-MLP,1000-50,210.12,210.124,0.578,0.808,0.875,0.764,0.084,0.809,0.798,0.703,8.051,76.427,0.969,0.912,0.786,1.161,0.746,0.524,0.125,0.677,0.629,0.695,-25.306,55.692,0.916,0.807
0,MSE,1,EAEO-MLP,1000-50,209.111,209.114,0.62,0.824,0.869,0.755,0.091,0.803,0.797,0.693,13.579,75.466,0.964,0.902,0.82,1.11,0.766,0.564,0.127,0.696,0.668,0.707,-19.114,58.595,0.94,0.795
0,MSE,1,MAEO-MLP,1000-50,205.366,205.368,0.509,0.71,0.905,0.818,0.072,0.846,0.867,0.75,12.893,81.813,0.974,0.938,0.683,1.043,0.808,0.615,0.109,0.722,0.698,0.744,-29.121,65.206,0.916,0.819
0,MSE,1,AAEO-MLP,1000-50,160.684,160.687,0.452,0.62,0.928,0.861,0.062,0.878,0.898,0.734,8.188,86.129,0.974,0.948,0.669,0.999,0.823,0.647,0.107,0.739,0.701,0.805,-25.544,67.615,0.904,0.831
0,MSE,2,GA-MLP,1000-50-0.85-0.05,107.946,107.95,0.486,0.687,0.911,0.83,0.069,0.855,0.865,0.76,1.934,83.01,0.979,0.948,0.77,1.154,0.791,0.529,0.125,0.68,0.619,0.756,-49.9,62.164,0.904,0.831
0,MSE,2,DE-MLP,1000-50-0.85-0.8,105.558,105.562,0.588,0.812,0.879,0.762,0.083,0.808,0.858,0.729,59.799,77.183,0.948,0.896,0.715,1.009,0.809,0.64,0.111,0.735,0.707,0.683,-15.175,65.423,0.952,0.843
0,MSE,2,PSO-MLP,1000-50-1.2-1.2-0.4-0.9,106.586,106.59,0.841,1.076,0.764,0.582,0.116,0.705,0.689,0.615,19.915,58.216,0.938,0.86,1.303,1.779,0.428,-0.119,0.206,0.472,0.324,0.561,-69.989,9.862,0.831,0.759
0,MSE,2,HHO-MLP,1000-50,193.661,193.665,0.727,1.027,0.788,0.619,0.109,0.724,0.723,0.672,35.592,61.999,0.943,0.87,0.879,1.177,0.742,0.51,0.135,0.671,0.642,0.695,-27.467,54.819,0.904,0.795
0,MSE,2,SSA-MLP,1000-50-0.8-0.2-0.1,198.13,198.134,0.5,0.685,0.912,0.831,0.071,0.855,0.875,0.755,9.535,83.087,0.974,0.943,0.706,1.044,0.796,0.614,0.112,0.722,0.712,0.732,-18.375,63.369,0.916,0.843
0,MSE,2,HGS-MLP,1000-50-0.03-1000,106.766,106.77,0.551,0.755,0.891,0.794,0.076,0.829,0.841,0.682,11.506,79.429,0.969,0.933,0.865,1.323,0.688,0.381,0.142,0.618,0.573,0.707,-44.4,46.788,0.892,0.807
0,MSE,2,MVO-MLP,1000-50-0.2-1.0,106.532,106.536,0.489,0.677,0.914,0.835,0.069,0.858,0.869,0.734,8.807,83.462,0.974,0.938,0.735,1.089,0.792,0.581,0.118,0.705,0.689,0.756,-32.838,62.69,0.904,0.831
0,MSE,2,EFO-MLP,1000-50-0.3-0.85-0.1-0.45,105.938,105.942,0.456,0.643,0.922,0.851,0.064,0.87,0.882,0.719,8.343,85.058,0.974,0.953,0.696,1.05,0.813,0.611,0.111,0.72,0.694,0.756,-35.956,66.142,0.916,0.819
0,MSE,2,EO-MLP,1000-50,109.068,109.071,0.482,0.673,0.915,0.836,0.067,0.859,0.879,0.771,9.167,83.649,0.969,0.953,0.715,1.09,0.792,0.58,0.116,0.704,0.672,0.732,-33.622,62.752,0.892,0.831
0,MSE,2,CHIO-MLP,1000-50-0.06-150,118.432,118.436,0.67,0.851,0.866,0.739,0.091,0.793,0.863,0.698,6.473,73.913,0.969,0.912,0.896,1.221,0.721,0.473,0.136,0.655,0.694,0.646,-12.674,48.87,0.916,0.783
0,MSE,2,FBIO-MLP,1000-50,339.732,339.735,0.409,0.604,0.932,0.868,0.057,0.884,0.903,0.75,7.845,86.841,0.979,0.943,0.736,1.117,0.789,0.559,0.121,0.694,0.665,0.768,-39.316,62.202,0.916,0.819
0,MSE,2,SMA-MLP,1000-50-0.03,108.013,108.017,0.517,0.706,0.906,0.82,0.073,0.847,0.867,0.745,11.494,81.994,0.964,0.938,0.775,1.165,0.762,0.52,0.125,0.676,0.659,0.756,-36.977,57.877,0.916,0.807
0,MSE,2,CGO-MLP,1000-50,343.346,343.349,0.544,0.744,0.895,0.8,0.077,0.834,0.831,0.708,6.056,80.054,0.974,0.938,0.749,1.138,0.775,0.542,0.122,0.686,0.618,0.683,-36.759,59.836,0.904,0.807
0,MSE,2,AEO-MLP,1000-50,208.115,208.12,0.551,0.758,0.89,0.793,0.077,0.828,0.855,0.693,13.969,79.274,0.959,0.917,0.811,1.2,0.742,0.491,0.131,0.663,0.631,0.646,-36.342,54.933,0.88,0.807
0,MSE,2,IAEO-MLP,1000-50,209.842,209.846,0.609,0.811,0.874,0.763,0.089,0.808,0.798,0.724,11.908,76.284,0.964,0.912,0.817,1.183,0.751,0.505,0.132,0.669,0.629,0.768,-36.509,56.322,0.892,0.783
0,MSE,2,EAEO-MLP,1000-50,209.681,209.684,0.56,0.759,0.892,0.792,0.081,0.828,0.807,0.729,-7.72,79.376,0.969,0.927,0.753,1.123,0.785,0.555,0.123,0.692,0.643,0.707,-38.621,61.494,0.928,0.807
0,MSE,2,MAEO-MLP,1000-50,191.249,191.252,0.522,0.731,0.898,0.807,0.075,0.838,0.858,0.74,11.27,80.711,0.964,0.927,0.719,1.054,0.804,0.607,0.114,0.718,0.692,0.72,-30.49,64.675,0.916,0.831
0,MSE,2,AAEO-MLP,1000-50,159.68,159.682,0.441,0.623,0.927,0.86,0.062,0.877,0.895,0.729,7.794,85.982,0.969,0.953,0.752,1.118,0.799,0.558,0.123,0.694,0.662,0.756,-45.84,63.804,0.904,0.831
0,MSE,3,GA-MLP,1000-50-0.85-0.05,108.937,108.941,0.509,0.708,0.906,0.819,0.073,0.847,0.843,0.724,-10.303,82.081,0.974,0.933,0.809,1.18,0.772,0.508,0.13,0.67,0.629,0.744,-47.605,59.523,0.892,0.807
0,MSE,3,DE-MLP,1000-50-0.85-0.8,105.827,105.831,0.552,0.738,0.901,0.803,0.074,0.836,0.9,0.682,6.468,80.355,0.974,0.943,0.834,1.199,0.754,0.492,0.133,0.663,0.71,0.732,-34.203,54.797,0.904,0.807
